2.135922330097087263e-01,1.339805825242718518e+00,9.708737864077669061e-03
2.815533980582524132e-01,1.213592233009708643e+00,6.796116504854368690e-02
1.747572815533980639e-01,1.262135922330097193e+00,2.912621359223301065e-02
2.524271844660194164e-01,1.262135922330097193e+00,0.000000000000000000e+00
2.718446601941747476e-01,1.252427184466019527e+00,1.941747572815533812e-02
2.427184466019417508e-01,1.320388349514563187e+00,0.000000000000000000e+00
1.650485436893203983e-01,1.281553398058252524e+00,1.067961165048543631e-01
1.650485436893203983e-01,1.359223300970873849e+00,1.941747572815533812e-02
3.009708737864077444e-01,1.213592233009708643e+00,3.883495145631067624e-02
1.844660194174757295e-01,1.310679611650485521e+00,1.941747572815533812e-02
2.815533980582524132e-01,1.213592233009708643e+00,6.796116504854368690e-02
1.941747572815533951e-01,1.252427184466019527e+00,4.854368932038834877e-02
3.009708737864077444e-01,1.213592233009708643e+00,3.883495145631067624e-02
1.553398058252427050e-01,1.310679611650485521e+00,6.796116504854368690e-02
2.718446601941747476e-01,1.233009708737863974e+00,3.883495145631067624e-02
2.038834951456310607e-01,1.242718446601941640e+00,6.796116504854368690e-02
1.456310679611650394e-01,1.291262135922330190e+00,7.766990291262135249e-02
1.456310679611650394e-01,1.330097087378640852e+00,5.825242718446602130e-02
2.427184466019417508e-01,1.291262135922330190e+00,9.708737864077669061e-03
3.495145631067961278e-01,1.242718446601941640e+00,0.000000000000000000e+00
3.203883495145631310e-01,1.194174757281553312e+00,5.825242718446602130e-02
2.427184466019417508e-01,1.291262135922330190e+00,9.708737864077669061e-03
2.912621359223300788e-01,1.233009708737863974e+00,1.941747572815533812e-02
3.883495145631067902e-01,1.223300970873786309e+00,0.000000000000000000e+00
1.553398058252427050e-01,1.320388349514563187e+00,4.854368932038834877e-02
1.650485436893203983e-01,1.320388349514563187e+00,3.883495145631067624e-02
3.398058252427184622e-01,1.184466019417475646e+00,2.912621359223301065e-02
2.621359223300970820e-01,1.233009708737863974e+00,4.854368932038834877e-02
2.233009708737864196e-01,1.300970873786407855e+00,9.708737864077669061e-03
2.621359223300970820e-01,1.223300970873786309e+00,7.766990291262135249e-02
